miRNA	Contrast	Dir	Info	Source
hsa-miR-122-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-342-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-29b-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-1-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-16-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-15a-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-122-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-15b-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-193a-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-100-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-99a-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-107	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-183-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-103a-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-126-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-196a-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-221-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-206	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-29c-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-196b-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-193a-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-1-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-335-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-122-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-181a-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-30a-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-16-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-150-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-206	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-1-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-122-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-193a-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-16-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-15a-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-30a-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
